,show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
142,s143,Movie,Wedding Cha Shinema,Saleel Kulkarni,"Shivraj Waichal, Rucha Inamdar, Mukta Barve, Purnima Ahire, Adesh Aware",India,,2019,ALL,138 min,"Comedy, International","An aspiring filmmaker reluctantly takes up the assignment of filming a wedding in a small town. Once she gets there, she is drawn into the celebration, chaos and drama surrounding the family gathering."
180,s181,Movie,Virus,Aashiq Abu,"Revathy, Kunchako Boban, Parvathy Thiruvoth",India,,2019,ALL,149 min,"Drama, Science Fiction, Suspense","Virus is a fiction based on true events, revolving around the deadly Nipah virus epidemic scare in Calicut, in 2018. A zoonotic disease top-listed by WHO, with no vaccination and treatment protocol, the deadly Nipah kills 75 % of those affected. Virus movie documents how the community spirit of a small town, in a tiny state of India, managed to fight the battle and win."
607,s608,Movie,The Immortalists,"David Alvarado, Jason Sussberg","Bill Andrews, Aubrey de Grey, Colin Blakemore, Adelaide Carpenter, Terry Grossman, Leonard Hayflick, Randy Lee","United Kingdom, United States, India",,2014,7+,77 min,"Documentary, Special Interest","What would the world look like if humans never grew old? Two eccentric biologists are determined to find out. In this larger-than-life doc, Bill Andrews and Aubrey de Grey leave behind the journals and peer reviews of the scientific establishment to embark on a quest for the age-old secret of eternal youth."
983,s984,Movie,Sketchy Behaviour,Neville Shah,"Kanan Gill, Kenneth Sebastian",India,,2019,PG-13,64 min,"Arts, Entertainment, and Culture","Sketchy Behaviour is an absurd sketch comedy show filmed live in Mumbai. Described as hilarious, complex, stupid, irritating(and ‘sardonic’ by one lady in Goa) the show is familiar, bizarre and hysterically funny. Featuring six very silly live sketches, stitched together by a much sillier story and bookended by an extremely silly opening and closing, Sketchy Behaviour is truly a work of something."
1046,s1047,Movie,Shaadi Mubarak,Padmasri,"Sagar RK Naidu, Drishya Raghunath",India,,2021,ALL,133 min,"Comedy, Drama","Madhav, an introverted software employee who gets compelled to meet 3 brides of alliances arranged by a marriage bureau run by Jayamma. Bhanumati, daughter of Jayamma, a happy, go-lucky girl had to accompany Madhav in meeting his set alliances. In the journey, they find love in each other, yet, they don't express it. The story takes new turns with each alliance they meet."
1208,s1209,Movie,Rangasthalam,Sukumar,"Ram Charan, Samantha Akkineni, Aadhi Pinisetty, Anasuya Bharadwaj, Jagapati Babu",India,,2018,7+,174 min,"Drama, International, Suspense",The story is set in a village called Rangasthalam. Chitti Babu (Ram Charan) happy-go-lucky man who has a hearing disability and he doesn’t let his disability deter him. His brother Kumar Babu (Aadhi Pinisetty) returns from Dubai only to see that nothing in the village has changed. What happens when he decides to go up against the dreaded President garu (Jagapathi Babu) forms the rest of the story.
1470,s1471,Movie,Notebook,Nitin Kakkar,"Zahir Iqbal, Pranutan Bahl",India,,2019,ALL,112 min,"Drama, International, Romance","Kabir comes to Kashmir to be a school teacher. The school is situated in the middle of the remote Wuller lake, lacking basic amenities and attended by just a handful of students. At the school Kabir finds a notebook left behind by the previous year's teacher Firdaus and that changes his entire life. Happy and heart-warming Notebook is about two people finding love in the most unexpected way."
1498,s1499,Movie,NGK,K. Selvaraghavan,"Suriya, Sai Pallavi, Rakul Preet Singh",India,,2019,ALL,147 min,Drama,"Suriya plays the title role Nandha Gopalan Kumaran, who has completed M.Tech, Ph.D doing organic farming for his living and do social work without any returns, leaving the corporate job, living a happy life with his parents and wife Sai Pallavi. At one point of time, opposition party's Bala Singh induces the idea of joining him in politics and circumstances led him to join the party too."
1544,s1545,Movie,My Name is Salt,Farida Pacha,,"Switzerland, India",,2013,ALL,92 min,"Arts, Entertainment, and Culture, Documentary, Special Interest","Year after year, just after the monsoon season has finished, thousands of families travel to a bleak desert in Gujerat, India, where they will stay for an endless eight months and extract salt from the earth, using the same painstaking, manual techniques as generations before them. Director Farida Pacha spent a season with one of these families, observing the very particular rhythms of their lives"
1625,s1626,Movie,Monster,Nelson Venkatesan,"SJ Surya, Priya Bhavani Shankar, Karunakaran, Anil Kumar",India,,2019,ALL,138 min,"Comedy, Drama",A compassionate man who believes that earth is for every living creature gets troubled by a rat and tries to kill it. Did he kill it or let it go free is the crux of the story.
1973,s1974,Movie,Kadaikutty Singam,Pandiraj,"Karthi, Sayyeshaa, Sathyaraj, Priya Bhavani Shankar, Arthana Vijayakumar, Soori",India,,2018,ALL,148 min,"Action, Adventure, Drama","Gunasingam, a family-loving farmer who hails from a small town, tries his best to keep his big family united."
2081,s2082,Movie,Ishaqzaade,Habib Faisal,"Arjun Kapoor, Parineeti Chopra",India,,2012,PG,132 min,International,"Rising from the ashes of hooliganism & small town clan wars, comes the love story of a passion ignited by hatred. Of two people. Born to hate. Destined to love. A story about two fiery bloods played by Arjun Kapoor & Parineeti Chopra, and their fight for power & supremacy. A story about love brewing in the often unrealistic and daunting political confines of rural India. A story called ISHAQZAADE."
2303,s2304,Movie,Goyenda Junior,Mainak Bhaumik,"Rwitobroto Mukherjee, Shantilal Mukherjee, Anusha Viswanathan",India,,2019,ALL,118 min,"International, Suspense","Bikram (Rwitobroto Mukherjee), a teenage boy, spends his days mooning over his crush Tuki (Anusha Viswanathan), and reading lots of crime fiction. An odd twist of events leads Bikram on a quest to solve the perfect crime - a murder cleverly disguised as a natural death !"
3696,s3697,Movie,Anbirkiniyal,Gokul,"Keerthi Pandian, Arun Pandian, Praveen Raja",India,,2021,ALL,123 min,"Drama, Suspense",True to her name the protagonist is a lovable girl. She doesn't return home from work one day and a search is triggered thereafter.
3712,s3713,Movie,Tumhari Sulu,Suresh Triveni,"Vidya Balan, Neha Dhupia, Manav Kaul, Vijay Maurya, Santanu Ghatak, Malishka Mendonsa, Vibhawari Deshpande, Abhishek Sharrma, Seema Taneja, Sindhu Shekharan, Trupti Khamkar, Siddhaanth Samant, Uday Lagoo",India,,2017,ALL,139 min,"Comedy, Drama, International","Vidya Balan (Sulochana a.k.a. Sulu) essays the role of a beautiful, enthusiastic and happy-go-lucky Mumbai housewife whose routine life changes when she unexpectedly lands herself with the exciting job of a night RJ (radio jockey) on a leading radio station."
