,Genre,Value,Location
0,Comedy,14,India
1,Drama,40,India
2,Science Fiction/Fantasy,1,India
3,Action/Adventure,6,India
4,Suspense/Horror,7,India
5,Documentary,2,India
6,Romance,16,India
7,International,35,India
8,Animation,0,India
0,Comedy,4,UK
1,Drama,6,UK
2,Science Fiction/Fantasy,2,UK
3,Action/Adventure,9,UK
4,Suspense/Horror,0,UK
5,Documentary,3,UK
6,Romance,1,UK
7,International,3,UK
8,Animation,1,UK
0,Comedy,32,USA
1,Drama,30,USA
2,Science Fiction/Fantasy,11,USA
3,Action/Adventure,33,USA
4,Suspense/Horror,16,USA
5,Documentary,7,USA
6,Romance,3,USA
7,International,10,USA
8,Animation,4,USA
