,Genre,Value,Location
0,Comedy,7,Japan
1,Drama,5,Japan
2,Science Fiction/Fantasy,0,Japan
3,Action/Adventure,18,Japan
4,Suspense/Horror,0,Japan
5,Documentary,1,Japan
6,Romance,0,Japan
7,International,7,Japan
8,Animation,32,Japan
0,Comedy,12,UK
1,Drama,21,UK
2,Science Fiction/Fantasy,2,UK
3,Action/Adventure,11,UK
4,Suspense/Horror,4,UK
5,Documentary,5,UK
6,Romance,3,UK
7,International,15,UK
8,Animation,3,UK
0,Comedy,117,USA
1,Drama,54,USA
2,Science Fiction/Fantasy,20,USA
3,Action/Adventure,60,USA
4,Suspense/Horror,12,USA
5,Documentary,42,USA
6,Romance,16,USA
7,International,3,USA
8,Animation,32,USA
