,Genre,Value,Location
0,Comedy,82,Japan
1,Drama,110,Japan
2,Science Fiction/Fantasy,2,Japan
3,Action/Adventure,10,Japan
4,Suspense/Horror,4,Japan
5,Documentary,15,Japan
6,Romance,23,Japan
7,International,146,Japan
8,Animation,0,Japan
0,Comedy,55,UK
1,Drama,64,UK
2,Science Fiction/Fantasy,39,UK
3,Action/Adventure,35,UK
4,Suspense/Horror,2,UK
5,Documentary,88,UK
6,Romance,18,UK
7,International,78,UK
8,Animation,0,UK
0,Comedy,11,USA
1,Drama,283,USA
2,Science Fiction/Fantasy,148,USA
3,Action/Adventure,196,USA
4,Suspense/Horror,44,USA
5,Documentary,205,USA
6,Romance,122,USA
7,International,55,USA
8,Animation,10,USA
