Name,Race,Sex,Genre
Bluey,Animal,Female,Animation
Jessie,White,Female,Comedy
On Pointe,Multi,Multi,Documentary
Mickey Mouse Clubhouse,Animal,Male,Animation
Star Wars: Clone Wars,White,Male,Animation
Phineas & Ferb,White,Male,Animation
Hannah Montana,White,Female,Comedy
Oye Golu,Brown,Male,Drama
ANT Farm,Black,Female,Comedy
The Simpsons,White,Multi,Comedy
Puppy Dog Pals,Animal,Multi,Animation
Star Wars: Rebels,White ,Male,Animation
The Wonderful World of Mickey Mouse,Animal,Male,Animation
Good Luck Charlie,White,Multi,Comedy
Doc McStuffins,Black,Female,Animation
Mickey Mouse  ,Animal,Male,Animation
Muppets Now,Other,Other,Comedy
Imagineering,Multi,Multi,Documentary
Making of Frozen 2,Multi,Multi,Documentary
Disney Animal Kingdom,Animal,Multi,Documentary
