Title,As of,Rank,Year to Date Rank,Last Week Rank,Type,Netflix Exclusive,Netflix Release Date,Days_Top_10,Viewership Score
Cocomelon,3/1/22,9,-,-,TV Show,,1-Jun-20,428,1474
Ozark,3/1/22,7,7,8,TV Show,Yes,21-Jul-17,89,536
Cobra Kai,1/28/22,9,7,5,TV Show,,28-Aug-20,81,582
Manifest,9/17/21,8,7,6,TV Show,,10-Jun-21,80,590
The Queenâs Gambit,1/6/21,10,9,6,TV Show,Yes,23-Oct-20,73,446
Outer Banks,9/1/21,8,9,6,TV Show,Yes,15-Apr-20,72,534
Squid Game,11/28/21,9,10,10,TV Show,Yes,17-Sep-21,66,495
All American,9/3/21,10,9,6,TV Show,,28-Mar-19,66,416
Bridgerton,2/21/21,10,10,8,TV Show,Yes,25-Dec-20,58,432
Lucifer,9/24/21,8,4,1,TV Show,,15-Dec-18,57,415
Virgin River,8/6/21,9,8,3,TV Show,Yes,6-Dec-19,55,391
Maid,11/24/21,8,8,6,TV Show,Yes,1-Oct-21,49,310
Emily in Paris,1/18/22,10,10,7,TV Show,Yes,2-Oct-20,48,287
Too Hot to Handle,2/1/22,7,7,3,TV Show,Yes,17-Apr-20,48,297
Love is Blind,3/11/22,5,6,6,TV Show,Yes,13-Feb-20,46,312
Sweet Magnolias,3/2/22,9,6,3,TV Show,Yes,19-May-20,45,344
The Witcher,1/27/22,10,9,10,TV Show,Yes,20-Dec-19,45,288
Tiger King,11/26/21,9,7,1,TV Show,Yes,20-Mar-20,44,367
The Queen of Flow,1/4/22,10,-,6,TV Show,Yes,9-Nov-18,44,250
Ginny & Georgia,4/30/21,10,9,-,TV Show,Yes,24-Feb-21,44,335
Shameless,10/27/21,9,9,4,TV Show,,30-Jun-16,42,250
iCarly,3/26/21,9,10,10,TV Show,,8-Feb-21,42,244
Who Killed Sara?,6/2/21,10,10,3,TV Show,Yes,24-Mar-21,42,285
The Circle US,10/1/21,10,-,6,TV Show,Yes,1-Jan-20,40,213
Money Heist,12/17/21,10,10,1,TV Show,Yes,20-Dec-17,39,240
Avatar: The Last Airbender,7/2/20,10,-,10,TV Show,,15-May-20,39,194
"Tiger King: Murder, Mayhem …",11/19/21,1,2,-,TV Show,Yes,20-Mar-20,37,320
You,11/19/21,6,4,5,TV Show,,26-Dec-18,35,288
Clickbait,9/29/21,10,10,3,TV Show,Yes,25-Aug-21,34,266
The Umbrella Academy,9/3/20,10,9,3,TV Show,Yes,15-Feb-19,34,258
Riverdale,11/3/21,10,9,6,TV Show,,19-May-17,34,143
Unsolved Mysteries,10/30/20,9,8,1,TV Show,Yes,1-Jul-20,33,241
Space Force,2/25/22,9,8,-,TV Show,Yes,29-May-20,32,214
The Mitchells vs. The Machines,5/31/21,9,9,6,Movie,Yes,30-Apr-21,31,204
Jurassic World Camp Cretaceous,12/10/21,10,9,-,TV Show,Yes,18-Sep-20,31,174
Jeffrey Epstein: Filthy Rich,7/19/20,10,10,10,TV Show,Yes,27-May-20,30,164
Vivo,9/30/21,7,-,-,Movie,Yes,6-Aug-21,29,166
How the Grinch Stole Christmas,12/28/20,10,6,2,Movie,,1-Jun-17,29,137
All of Us Are Dead,2/26/22,10,7,9,TV Show,Yes,28-Jan-22,29,189
365 Days,7/5/20,10,10,4,Movie,Yes,7-Jul-20,28,213
Inventing Anna,3/11/22,4,4,3,TV Show,Yes,11-Feb-22,28,250
Never Have I Ever,7/29/21,8,5,2,TV Show,Yes,27-Apr-20,28,200
Despicable Me 2,3/1/22,8,9,9,Movie,,1-Feb-22,27,88
Firefly Lane,3/2/21,10,9,5,TV Show,Yes,3-Feb-21,27,182
The Haunting of Bly Manor,11/4/20,10,8,6,TV Show,Yes,9-Oct-20,26,184
Sweet Tooth,6/30/21,10,10,5,TV Show,Yes,4-Jun-21,26,177
Behind Her Eyes,3/15/21,9,10,7,TV Show,Yes,17-Feb-21,26,154
Big Mouth,11/18/21,10,9,2,TV Show,Yes,29-Sep-17,26,187
Good Girls,3/11/22,3,3,-,TV Show,,1-Jan-19,26,149
Ratched,10/14/20,10,9,5,TV Show,Yes,18-Sep-20,26,190
Jurassic World: Camp Cretac…,12/5/21,5,5,-,TV Show,Yes,18-Sep-20,26,159
Donât Look Up,1/19/22,10,9,5,Movie,Yes,24-Dec-21,26,189
Sex/Life,7/22/21,10,10,4,TV Show,Yes,25-Jun-21,26,171
The Crown,12/11/20,10,10,7,TV Show,Yes,4-Nov-16,26,160
The Serpent,4/29/21,10,7,8,TV Show,Yes,2-Apr-21,25,99
Dead to Me,6/2/20,7,6,8,TV Show,Yes,3-May-19,25,179
Illumination Presents The G…,12/4/20,6,9,6,Movie,,5-Jun-19,24,95
We Can Be Heroes,1/18/21,10,9,5,Movie,Yes,25-Dec-20,24,144
The Christmas Chronicles 2,12/26/21,7,5,-,Movie,Yes,25-Nov-20,24,132
The Great British Baking Show,11/27/21,9,-,7,TV Show,,3-Oct-15,24,85
Red Notice,12/12/21,9,10,9,Movie,Yes,12-Nov-21,23,162
Selling Sunset,12/10/21,9,6,5,TV Show,Yes,22-Mar-19,23,115
Lupin,6/20/21,10,10,5,TV Show,Yes,8-Jan-21,23,132
Floor is Lava,7/11/20,9,7,5,TV Show,Yes,19-Jun-20,22,171
Schittâs Creek,10/28/20,10,10,5,TV Show,,24-Jan-17,22,115
The Unforgivable,1/2/22,10,-,5,Movie,Yes,10-Dec-21,22,171
Henry Danger,2/11/21,10,9,10,TV Show,,15-Jan-21,22,75
13 Reasons Why,6/27/20,10,7,4,TV Show,Yes,31-Mar-17,22,162
Lost in Space,12/23/21,10,10,7,TV Show,Yes,13-Apr-18,22,130
The Last Dance,8/10/20,10,10,4,TV Show,Yes,19-Jul-20,22,130
Wish Dragon,7/2/21,10,9,6,Movie,Yes,11-Jun-21,21,125
Shadow and Bone,5/14/21,9,8,5,TV Show,Yes,23-Apr-21,21,161
Home,9/30/21,9,-,-,Movie,,25-May-21,21,123
Queer Eye,1/12/22,9,8,5,TV Show,Yes,7-Feb-18,21,95
The Flash,8/5/21,10,10,7,TV Show,,6-Oct-15,21,58
L.A.'s Finest,6/18/21,10,9,10,TV Show,,5-Jan-21,21,84
