,show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
0,s1,Movie,Ricky Velez: Here's Everything,,,,"October 24, 2021",2021,TV-MA,,"Comedy, Stand Up",​Comedian Ricky Velez bares it all with his honest lens and down to earth perspective in his first-ever HBO stand-up special.
2,s3,Movie,The Marksman,,,,"October 23, 2021",2021,PG-13,108 min,"Action, Thriller",A hardened Arizona rancher tries to protect an 11-year-old migrant boy fleeing from a ruthless drug cartel.
3,s4,Movie,Gaia,,,,"October 22, 2021",2021,R,97 min,Horror,A forest ranger and two survivalists with a cultish devotion to the forest face the threat of an unrelenting wilderness when a strange being attacks one night.
8,s9,TV Show,Queens,,,,"October 20, 2021",2021,TV-14,1 Season,"Drama, Music",Four women in their 40s reunite for a chance to recapture their fame and regain the swagger they had as legends in the 1990s hip-hop world.
9,s10,TV Show,The Bachelorette,,,United States,"October 20, 2021",2003,TV-14,3 Seasons,"Reality, Romance","ABC's romance reality show lets one lucky lady narrow the field of bachelors, leaving only her dream man."
16,s17,TV Show,Showtime Championship Boxing: Wilder vs. Molina,,,,"October 16, 2021",2015,TV-14,1 Season,Sports,Champion Deontay Wilder vs. Eric Molina. Live from the Bartow Arena.
17,s18,TV Show,America's Book of Secrets,,,United States,"October 15, 2021",2012,TV-14,1 Season,"Documentaries, History","America's story can be told in many ways. While much of the history of our country is well documented and widely available, there is another deeper history one that has been shrouded in secrecy and hidden from public view; these are the stories we will reveal."
19,s20,TV Show,Beyond Scared Straight,,,United States,"October 15, 2021",2011,TV-14,6 Seasons,"Documentaries, Reality, Teen","Beyond Scared Straight profiles the new approach to keeping today's teens from becoming tomorrow's prisoners. The power of the original Scared Straight! program has inspired dozens of inmate-run intervention programs in men's and women's prisons across the country. These youthful offender programs put boys and girls of all ethnicities and backgrounds, ranging in age from 11-18, into intensive one-day in-prison sessions that show them the realities of life behind bars."
20,s21,Movie,Cheer Camp Killer,,,,"October 15, 2021",2020,TV-14,87 min,Thriller,"Camp queen bee Victoria does not take kindly to a newcomer like Sophia taking her spotlight, so she launches a dangerous plan to get her rival out of the way."
22,s23,TV Show,Little Women: Atlanta,,,United States,"October 15, 2021",2016,TV-14,2 Seasons,"Black Stories, Reality","In Little Women: Atlanta, the little ladies turn it up wherever they go out, especially with club promoter Emily leading the charge. There is no shortage of drama within this circle of friends as they face the daily challenges that come with being a little person."
23,s24,TV Show,Marrying Millions,,,,"October 15, 2021",2019,TV-14,2 Seasons,"Documentaries, Reality, Romance","Marrying Millions follows six couples who are deeply in love and hoping to marry, but come from completely different worlds. Regular people are whisked off their feet and plunged into a high-end life of riches"
24,s25,TV Show,Nightwatch,,,United States,"October 15, 2021",2015,TV-14,4 Seasons,"Documentaries, Drama, Mystery","""Nightwatch"" follows the dangerous stretch of time (between 9pm until 3am) when emergency responders deal with the busiest shift of the day and the most unnerving cases."
25,s26,TV Show,Seven Year Switch,,,,"October 15, 2021",2017,TV-14,1 Season,Reality,"In Seven Year Switch, four couples at a crossroads in their relationship get a chance to live with a stranger for two weeks in an experimental marriage."
26,s27,Movie,Sleepwalker,,,,"October 15, 2021",2017,TV-14,88 min,Thriller,A graduate student plagued by bouts of sleepwalking begins to have trouble differentiating between her dreams and reality.
29,s30,TV Show,Acapulco Shore,,,,"October 14, 2021",2014,TV-14,3 Seasons,"Latino, Reality","A group of young Mexicans live together and share fun, drama and a lot of alcohol."
34,s35,Movie,Out of Death,,,,"October 14, 2021",2021,NOT RATED,95 min,Thriller,"When Shannon (Jaime King) sets out on a hike to spread her deceased father’s ashes, she witnesses a corrupt sheriff’s deputy, Billie (Lala Kent) brutally murder a drug dealer. Having seen Shannon witness the murder, Billie and her cohorts set off to permanently silence Shannon. On the run from the dirty cops, Shannon stumbles into and recruits the help of a retired cop, Jack Harris (Bruce Willis)."
35,s36,TV Show,The Real Housewives of Orange County,,,United States,"October 14, 2021",2006,TV-14,15 Seasons,Reality,"The O.C. ladies are back as the series goes behind the gates for a voyeuristic look at the scandalous truths, mending friendships, rocky marriages, sizzling romances, and ever-changing loyalties inside the wealthy Southern California suburb."
38,s39,Movie,CHIPS,,,,"October 13, 2021",2017,R,101 min,"Action, Adventure, Comedy",Ponch and Jon are together again in this hilarious update of the popular TV series that follows a mismatched pair of motorcycle cops.
39,s40,TV Show,Dopesick,,,,"October 13, 2021",2021,TV-MA,1 Season,Drama,"From Executive Producer Danny Strong and starring and executive produced by Michael Keaton, “Dopesick” examines how one company triggered the worst drug epidemic in American history. The series takes viewers to the epicenter of America’s struggle with opioid addiction, from the boardrooms of Big Pharma, to a distressed Virginia mining community, to the hallways of the DEA. Defying all the odds, heroes will emerge in an intense and thrilling ride to take down the craven corporate forces behind this national crisis and their allies. The limited series is inspired by the New York Times bestselling book by Beth Macy."
