,show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
2,s3,Movie,The Marksman,,,,"October 23, 2021",2021,PG-13,108 min,"Action, Thriller",A hardened Arizona rancher tries to protect an 11-year-old migrant boy fleeing from a ruthless drug cartel.
11,s12,Movie,Dream Horse,,,,"October 18, 2021",2020,PG,113 min,"Comedy, Drama",The film tells the inspiring true story of a small town bartender who decides to breed a racehorse. The community chips in their small earnings and the investment pays off as he becomes a beacon of hope in their struggling town.
14,s15,TV Show,Home Sweet Home,,,,"October 16, 2021",2021,TV-PG,1 Season,Reality,"Real families of different backgrounds experience a new way of life when they trade homes, stepping out of their comfort zones to discover each other's similarities and celebrate their differences, created by executive producer Ava DuVernay."
18,s19,TV Show,Beyond Oak Island,,,,"October 15, 2021",2020,TV-PG,1 Season,"History, Reality","From pirates such as Blackbeard and outlaws like Jesse James, to Aztec gold, priceless historical artifacts from American history and sunken treasure ships, “Beyond Oak Island” digs deep into the many treasure quests across the globe."
21,s22,TV Show,Hoarders,,,United States,"October 15, 2021",2009,TV-PG,7 Seasons,"Health & Wellness, Lifestyle & Culture, Reality",Each 60-minute episode of Hoarders is a fascinating look inside the lives of two different people whose inability to part with their belongings is so out of control that they are on the verge of a personal crisis.
27,s28,TV Show,Swamp People,,,United States,"October 15, 2021",2010,TV-PG,3 Seasons,"Documentaries, Reality","Deep in the heart of Louisiana lies America's largest swamp – a million miles of inhospitable bayous, marshes and wetlands where nature rules and humans struggle to tame it."
42,s43,Movie,The Loneliest Whale: The Search for 52,,,,"October 12, 2021",2021,PG,97 min,Documentaries,"A cinematic quest to find the “52 Hertz Whale.” As the film embarks on its engrossing journey, we uncover what this whale’s lonely plight teaches us not only about our relationship to the ocean, but to each other."
43,s44,Movie,Gunda,,,,"October 11, 2021",2020,G,93 min,Documentaries,"Experiential cinema in its purest form, GUNDA is a transcendent and masterfully intimate chronicle of a mother pig, a flock of chickens, and a herd of cows."
46,s47,Movie,G.I. Joe: Retaliation,,,,"October 10, 2021",2013,PG-13,105 min,"Action, Adventure",The Greatest American Heroes are back to face COBRA in a new adventure.
48,s49,TV Show,Roots Less Traveled,,,,"October 10, 2021",2020,TV-G,1 Season,Reality,"Pairs of family members, often from different generations, set out on adventures to solve mysteries from their family trees and grow closer as they gain wisdom not only about themselves, but also about how their past has helped shape their present."
49,s50,TV Show,Shark Tank,,,United States,"October 9, 2021",2009,TV-PG,12 Seasons,Reality,"From Executive Producer Mark Burnett comes an inventive new reality series you can sink your teeth into. Budding entrepreneurs with big ideas can still make their dreams come true and ABC is about to give them the chance to make it happen. Each week a group of self-made millionaires from all corners of the business world take their own hard earned money and offer everyday people their one true shot at making their dreams a reality. Some will sink, some will swim and some will be eaten alive."
59,s60,Movie,The Hills Presents: Speidi's Wedding Unveiled,,,,"October 5, 2021",2009,TV-PG,,"Reality, Teen","The new Mr. and Mrs. Pratt present candid interviews with the cast of Hills, exclusive footage you never saw on the show, a glimpse at the media frenzy surrounding the wedding of the year, and an interview with Kristin Cavallari"
60,s61,TV Show,America's Funniest Home Videos,,,United States,"October 4, 2021",1981,TV-PG,2 Seasons,"Comedy, Family","From practical jokes to home improvement plans gone awry, to animal mishaps and just flat out strange behavior, this hilarious show on ABC pulls out all the stops to present everyday people caught on tape in their most embarrassing moments!"
62,s63,TV Show,The Bradshaw Bunch,,,,"October 4, 2021",2020,TV-PG,1 Season,Reality,"Legendary quarterback and television-broadcast icon Terry Bradshaw gives us an intimate look at life in the off-season. As husband, father and “Papi” to the Bradshaw Bunch, we see a side of Terry Bradshaw you’ve never seen before"
65,s66,Movie,Finding Your Feet,,,United Kingdom,"October 3, 2021",2017,PG-13,112 min,"Comedy, Drama, Romance","On the eve of retirement, a middle-class snob discovers her husband has been having an affair, and is forced to live with her bohemian sister on an impoverished inner-city estate."
70,s71,TV Show,The Most Magical Story On Earth: 50 Years of Walt Disney World,,,,"October 2, 2021",2021,TV-PG,1 Season,News,"Whoopi Goldberg hosts a historical journey spanning half a century and beyond at Walt Disney World, featuring spectacular visuals, musical performances from Christina Aguilera and Halle Bailey, and interviews with iconic actors and athletes."
