,show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
1079,s1080,Movie,Shrek,,,"United States, Japan","January 1, 2021",2001,TV-PG,120 min,"Action, Adventure, Cartoons","Once upon a time, in a far away swamp, there lived an ornery ogre named Shrek whose precious solitude is suddenly shattered by an invasion of annoying fairy tale characters."
1179,s1180,Movie,Ramen Heads,,,Japan,"November 15, 2020",2017,PG,93 min,Documentaries,Japan's king of ramen opens his kitchen and five other prestige ramen shops to share recipes and trade secrets in this savory homage to noodles and broth.
1435,s1436,TV Show,ThunderCats (2011),,,"United States, Japan","August 20, 2020",2011,TV-PG,1 Season,"Action, Kids","ThunderCats, ho! Warner Bros. Animation (WBA) is reimagining the 1980s animated action classic in an all-new animated series combining swords and science and boasting ferocious battles with the highest of stakes."
1672,s1673,TV Show,Digimon Adventure,,,Japan,"May 15, 2020",1999,TV-Y7,1 Season,"Action, Adventure, Anime","While at summer camp, seven kids (Tai, Matt, Sora, Izzy, Mimi, Joe, and T.K) come across seven Digivices and are transported to a strange digital world. In this new world they make friends with creatures that call themselves Digimon (short for Digital Monsters) who were born to defend their world from various evil forces. The children learn they have the ability to help their new Digimon friends digivolve into different Digital Monsters and fight as a team to defend enemies and ultimately find their way home."
1675,s1676,TV Show,Digimon Tamers,,,Japan,"May 15, 2020",2001,TV-Y7,1 Season,"Action, Adventure, Anime","A group of 12-year-olds, Takato, Henry and Rika (fans of the Digimon card game) meet their own Digimon friends and start to duel ""bio-emerging"" Digimon who cross the barrier between the information network and their world."
1861,s1862,TV Show,Sword Art Online,,,Japan,"January 31, 2020",2012,TV-PG,1 Season,"Action, Adventure, Anime","In the near future, a Virtual Reality Massive Multiplayer Online Role-Playing Game (VRMMORPG) called Sword Art Online has been released where players control their avatars with their bodies using a piece of technology called: Nerve Gear. One day, players discover they cannot log out, as the game creator is holding them captive unless they reach the 100th floor of the game's tower and defeat the final boss. However, if they die in the game, they die in real life. Their struggle for survival starts now..."
2163,s2164,TV Show,The Amazing World of Gumball,,,"United Kingdom, Ireland, United States, Germany, Japan, France","July 5, 2019",2011,TV-Y7,6 Seasons,"Cartoons, Comedy, Family","Gumball’s world is pretty run-of-the-mill. He’s chased around school by a T-Rex. He has a friend named Anton who’s a piece of toast. He’s got a crush on Penny, a peanut with antlers. His dad is a 6’4” bunny. His mom works at a Rainbow Factory. And his brother is a goldfish named Darwin. Yup, everything looks perfectly normal here."
2572,s2573,Movie,Tiny Toon Adventures: Night Ghoulery,,,"United States, Japan","January 4, 2018",1995,TV-G,44 min,"Action, Adventure, Kids","A framework that's more than slightly similar to Rod Serling's ""Night Gallery"" and several other tales of horror and hilarity with a typical Tiny Toons twist."
2639,s2640,TV Show,Aquarion,,,Japan,"September 5, 2017",2005,TV-PG,1 Season,"Anime, Comedy, Drama","When the Shadow Angels invade after 12,000 years of slumber, humanity is held captive by fear and sheer alien dominance. Eleven years after the Great Catastrophe decimated the world, most of those left alive are scavengers, dirty and starving in the streets. There is hope, however - Mechanical Angel Aquarion! Powered by three souls intertwined, a rare breed of pilot takes the controls. Known as Elements, one among them must rise if mankind is to survive. Prophecy is being fulfilled as the end of the world approaches… Through a swirling cloud of love, betrayal, loss and destiny, the last hope for the new century arrives and takes flight!"
2653,s2654,TV Show,Full Metal Panic!,,,Japan,"September 5, 2017",2002,TV-PG,1 Season,"Action, Adventure, Anime","Sousuke Sagara, a seventeen year old military specialist working for the secret organization MITHRIL, has been assigned to protect the latest ""Whispered"" candidate Kaname Chidori. To complete this task Sousuke will have to deal with enemies from his past as well as the occasional panty thief. Unfortunately for Sousuke, the toughest part of his mission isn't only protecting Miss Chidori but also getting used to living an average High School students life, no easy task for someone raised on the battlefield."
